CODCES______	CODMAT______	LUNG	HALT	SPESS	MMQ____
"CF-00001"	"lam_ant_Sp=0.5"	556	2190	1	1218078
"CF-00002"	"lam_ant_Sp=0.5"	611	2190	1	1336995
"CF-00003"	"lam_ant_Sp=0.5"	489	2190	1	1070910
"CF-00004"	"lam_ant_Sp=0.5"	611	2190	1	1338090
"CF-00005"	"lam_ant_Sp=0.5"	571	2190	1	1250490
"CF-00006"	"lam_ant_Sp=0.5"	271	2190	1	593490
"CF-00007"	"lam_ant_Sp=0.5"	420	2190	1	919800
"CF-00008"	"lam_ant_Sp=0.5"	376	2190	1	823440
"CF-00009"	"lam_ant_Sp=0.5"	381	2190	1	834390
"CF-00010"	"lam_ant_Sp=0.5"	361	2190	1	790590
"CF-00011"	"lam_ant_Sp=0.5"	374	2190	1	819060
"CF-00012"	"lam_ant_Sp=0.5"	491	2190	1	1074195
"CF-00013"	"lam_ant_Sp=0.5"	660	2190	1	1445400
"CF-00014"	"lam_ant_Sp=0.5"	653	2190	1	1430070
"CF-00015"	"lam_ant_Sp=0.5"	553	2190	1	1210632
"CF-00016"	"lam_ant_Sp=0.5"	558	2190	1	1222458
"CF-00017"	"lam_ant_Sp=0.5"	461	2190	1	1010466
"CF-00018"	"lam_ant_Sp=0.5"	477	2190	1	1044630
"CF-00019"	"lam_ant_Sp=0.5"	674	2190	1	1475841
