CODLDR______	CODMAT______	LUNG	HALT	SPESS	MMQ____
"LR-00001"	"materialeB0"	596	2160	15	1287360
"LR-00002"	"materialeB0"	487	2160	15	1051920
"LR-00003"	"materialeB0"	598	2160	15	1291680
"LR-00004"	"materialeB0"	183	2160	15	395280
"LR-00005"	"materialeB0"	279	2160	15	602640
"LR-00006"	"materialeB0"	251	2160	15	542160
"LR-00007"	"materialeB0"	333	2160	15	719280
"LR-00008"	"materialeB0"	230	2160	15	496800
"LR-00009"	"materialeB0"	182	2160	15	393120
"LR-00010"	"materialeB0"	49	2160	15	105840
"LR-00011"	"materialeB0"	80	2160	15	172800
"LR-00012"	"materialeB0"	52	2160	15	112320
"LR-00013"	"materialeB0"	50	2160	15	108000
"LR-00014"	"materialeB0"	80	2160	15	172800
"LR-00015"	"materialeB0"	52	2160	20	112320
"LR-00016"	"materialeB0"	52	2160	20	112320
"LR-00017"	"materialeB0"	44	2160	15	95040
"LR-00018"	"materialeB0"	80	2160	15	172800
"LR-00019"	"materialeB0"	100	2160	20	216000
"LR-00020"	"materialeB0"	38	2160	15	82080
"LR-00021"	"materialeB0"	71	2160	20	153360
"LR-00022"	"materialeB0"	97	2160	20	209520
"LR-00023"	"materialeB0"	99	2160	20	213840
"LR-00024"	"materialeB0"	24	2160	15	51840
"LR-00025"	"materialeB0"	72	2160	20	155520
"LR-00026"	"materialeB0"	56	2160	15	120960
"LR-00027"	"materialeB0"	73	2160	20	157680
"LR-00028"	"materialeB0"	76	2160	15	164160
"LR-00028"	"materialeB0"	48	2160	15	103680
"LR-00029"	"materialeB0"	70	2160	20	151200
"LR-00030"	"materialeB0"	28	2160	15	60480
"LR-00031"	"materialeB0"	68	2160	20	146880
"LR-00032"	"materialeB0"	42	2160	15	90720
"LR-00033"	"materialeB0"	92	2160	20	198720
"LR-00034"	"materialeB0"	75	2160	15	162000
"LR-00035"	"materialeB0"	54	2160	20	116640
"LR-00036"	"materialeB0"	55	2160	15	118800
"LR-00037"	"materialeB0"	26	2160	15	56160
"LR-00038"	"materialeB0"	78	2160	15	168480
"LR-00039"	"materialeB0"	98	2160	20	211680
"LR-00040"	"materialeB0"	27	2160	15	58320
"LR-00041"	"materialeB0"	53	2160	15	114480
