CODCES______	DESCRIZIONE______________________________	FINITURA____	LUNG_	HALT	SPESS	MQ____	UM__
"CS-00000"	"Pannello cesoiato DI RIFERIMENTO   COD"	"ZZ"	0	2200	0	825220	"Nr"
"CS-00001"	"Pannello cesoiato "	"lam5"	613	2160.8	0.5	1324570	"Nr"
"CS-00002"	"Pannello cesoiato "	"lam4"	618	2160.8	0.3	1335374	"Nr"
"CS-00003"	"Pannello cesoiato "	"lam5"	1118.9	2160.8	0.5	2417719	"Nr"
"CS-00004"	"Pannello cesoiato "	"lam4"	1120.4	2160.8	0.3	2420960	"Nr"
"CS-00005"	"Pannello cesoiato "	"lam5"	200.9	2160.8	0.5	434105	"Nr"
"CS-00006"	"Pannello cesoiato "	"lam4"	241.9	2160.8	0.3	522698	"Nr"
"CS-00007"	"Pannello cesoiato "	"lam5"	296.1	2160.8	0.5	639813	"Nr"
"CS-00008"	"Pannello cesoiato "	"lam4"	337.1	2160.8	0.3	728406	"Nr"
"CS-00009"	"Pannello cesoiato "	"lam5"	611.1	2160.8	0.5	1320465	"Nr"
"CS-00010"	"Pannello cesoiato "	"lam4"	652.1	2160.8	0.3	1409058	"Nr"
"CS-00011"	"Pannello cesoiato "	"lam5"	576.1	2160.8	0.5	1244837	"Nr"
"CS-00012"	"Pannello cesoiato "	"lam4"	617.1	2160.8	0.3	1333430	"Nr"
"CS-00013"	"Pannello cesoiato "	"lam5"	593	2160.8	0.5	1281354	"Nr"
"CS-00014"	"Pannello cesoiato "	"lam4"	634	2160.8	0.3	1369947	"Nr"
"CS-00015"	"Pannello cesoiato "	"lam5"	574	2160.8	0.5	1240299	"Nr"
"CS-00016"	"Pannello cesoiato "	"lam4"	615	2160.8	0.3	1328892	"Nr"
"CS-00017"	"Pannello cesoiato "	"lam5"	312.6	2160.8	0.5	675466	"Nr"
"CS-00018"	"Pannello cesoiato "	"lam3"	350.6	2160.8	0.3	757576	"Nr"
"CS-00019"	"Pannello cesoiato "	"lam5"	602.1	2160.8	0.5	1301018	"Nr"
"CS-00020"	"Pannello cesoiato "	"lam3"	604.1	2160.8	0.3	1305339	"Nr"
"CS-00021"	"Pannello cesoiato "	"lam5"	671.7	2160.8	0.5	1451409	"Nr"
"CS-00022"	"Pannello cesoiato "	"lam3"	673.7	2160.8	0.3	1455731	"Nr"
"CS-00023"	"Pannello cesoiato "	"lam4"	676.7	2160.8	0.3	1462213	"Nr"
"CS-00024"	"Pannello cesoiato "	"lam5"	406.7	2160.8	0.5	878797	"Nr"
"CS-00025"	"Pannello cesoiato "	"lam3"	408.7	2160.8	0.3	883119	"Nr"
"CS-00026"	"Pannello cesoiato "	"lam5"	426	2160.8	0.5	920501	"Nr"
"CS-00027"	"Pannello cesoiato "	"lam3"	428	2160.8	0.3	924822	"Nr"
"CS-00028"	"Pannello cesoiato "	"lam5"	551.7	2160.8	0.5	1192113	"Nr"
"CS-00029"	"Pannello cesoiato "	"lam3"	553.7	2160.8	0.3	1196435	"Nr"
"CS-00030"	"Pannello cesoiato "	"lam5"	609.5	2160.8	0.5	1317008	"Nr"
"CS-00031"	"Pannello cesoiato "	"lam3"	611.5	2160.8	0.3	1321329	"Nr"
"CS-00032"	"Pannello cesoiato "	"lam5"	544.4	2160.8	0.5	1176340	"Nr"
"CS-00033"	"Pannello cesoiato "	"lam3"	546.4	2160.8	0.3	1180661	"Nr"
"CS-00034"	"Pannello cesoiato "	"lam5"	337.3	2160.8	0.5	728838	"Nr"
"CS-00035"	"Pannello cesoiato "	"lam3"	339.3	2160.8	0.3	733159	"Nr"
"CS-00036"	"Pannello cesoiato "	"lam5"	333.1	2160.8	0.5	719762	"Nr"
"CS-00037"	"Pannello cesoiato "	"lam3"	335.1	2160.8	0.3	724084	"Nr"
"CS-00038"	"Pannello cesoiato "	"lam4"	338.1	2160.8	0.3	730566	"Nr"
"CS-00039"	"Pannello cesoiato "	"lam5"	465.8	2160.8	0.5	1006501	"Nr"
"CS-00040"	"Pannello cesoiato "	"lam4"	470.8	2160.8	0.3	1017305	"Nr"
"CS-00041"	"Pannello cesoiato "	"lam5"	445.8	2160.8	0.5	963285	"Nr"
"CS-00042"	"Pannello cesoiato "	"lam4"	450.8	2160.8	0.3	974089	"Nr"
"CS-00043"	"Pannello cesoiato "	"lam5"	363.6	2160.8	0.5	785667	"Nr"
"CS-00044"	"Pannello cesoiato "	"lam3"	365.6	2160.8	0.3	789988	"Nr"
"CS-00045"	"Pannello cesoiato "	"lam5"	558	2160.8	0.5	1205726	"Nr"
"CS-00046"	"Pannello cesoiato "	"lam3"	560	2160.8	0.3	1210048	"Nr"
"CS-00047"	"Pannello cesoiato "	"lam5"	949.8	2160.8	0.5	2052328	"Nr"
"CS-00048"	"Pannello cesoiato "	"lam3"	951.8	2160.8	0.3	2056649	"Nr"
"CS-00049"	"Pannello cesoiato "	"lam5"	661.3	2160.8	0.5	1428937	"Nr"
"CS-00050"	"Pannello cesoiato "	"lam3"	663.3	2160.8	0.3	1433259	"Nr"
"CS-00051"	"Pannello cesoiato "	"lam5"	567.3	2160.8	0.5	1225822	"Nr"
"CS-00052"	"Pannello cesoiato "	"lam3"	569.3	2160.8	0.3	1230143	"Nr"
"CS-00053"	"Pannello cesoiato "	"lam5"	425.1	2160.8	0.5	918556	"Nr"
"CS-00054"	"Pannello cesoiato "	"lam3"	427.1	2160.8	0.3	922878	"Nr"
"CS-00055"	"Pannello cesoiato "	"lam5"	533.2	2160.8	0.5	1152139	"Nr"
"CS-00056"	"Pannello cesoiato "	"lam3"	535.2	2160.8	0.3	1156460	"Nr"
"CS-00057"	"Pannello cesoiato "	"lam5"	687.6	2160.8	0.5	1485766	"Nr"
"CS-00058"	"Pannello cesoiato "	"lam3"	689.6	2160.8	0.3	1490088	"Nr"
"CS-00059"	"Pannello cesoiato "	"lam5"	573.8	2160.8	0.5	1239867	"Nr"
"CS-00060"	"Pannello cesoiato "	"lam3"	575.8	2160.8	0.3	1244189	"Nr"
"CS-00061"	"Pannello cesoiato "	"lam5"	958	2160.8	0.5	2070046	"Nr"
"CS-00062"	"Pannello cesoiato "	"lam3"	960	2160.8	0.3	2074368	"Nr"
"CS-00063"	"Pannello cesoiato "	"lam5"	520.2	2160.8	0.5	1124048	"Nr"
"CS-00064"	"Pannello cesoiato "	"lam3"	522.2	2160.8	0.3	1128370	"Nr"
"CS-00065"	"Pannello cesoiato "	"lam5"	454.7	2160.8	0.5	982516	"Nr"
"CS-00066"	"Pannello cesoiato "	"lam3"	456.7	2160.8	0.3	986837	"Nr"
"CS-00067"	"Pannello cesoiato "	"lam5"	483.7	2160.8	0.5	1045179	"Nr"
"CS-00068"	"Pannello cesoiato "	"lam3"	485.7	2160.8	0.3	1049501	"Nr"
"CS-00069"	"Pannello cesoiato "	"lam5"	515.4	2160.8	0.5	1113676	"Nr"
"CS-00070"	"Pannello cesoiato "	"lam3"	517.4	2160.8	0.3	1117998	"Nr"
"CS-00071"	"Pannello cesoiato "	"lam4"	520.4	2160.8	0.3	1124480	"Nr"
"CS-00072"	"Pannello cesoiato "	"lam4"	459.7	2160.8	0.3	993320	"Nr"
"CS-00073"	"Pannello cesoiato "	"lam5"	450.6	2160.8	0.5	973656	"Nr"
"CS-00074"	"Pannello cesoiato "	"lam3"	452.6	2160.8	0.3	977978	"Nr"
"CS-00075"	"Pannello cesoiato "	"lam5"	242.2	2160.8	0.5	523346	"Nr"
"CS-00076"	"Pannello cesoiato "	"lam3"	244.2	2160.8	0.3	527667	"Nr"
"CS-00077"	"Pannello cesoiato "	"lam5"	409.5	2160.8	0.5	884848	"Nr"
"CS-00078"	"Pannello cesoiato "	"lam4"	414.5	2160.8	0.3	895652	"Nr"
"CS-00079"	"Pannello cesoiato "	"lam5"	591.1	2160.8	0.5	1277249	"Nr"
"CS-00080"	"Pannello cesoiato "	"lam3"	593.1	2160.8	0.3	1281570	"Nr"
"CS-00081"	"Pannello cesoiato "	"lam5"	1098.1	2160.8	0.5	2372774	"Nr"
"CS-00082"	"Pannello cesoiato "	"lam3"	1100.1	2160.8	0.3	2377096	"Nr"
"CS-00083"	"Pannello cesoiato "	"lam4"	1103.1	2160.8	0.3	2383578	"Nr"
"CS-00084"	"Pannello cesoiato "	"lam5"	429.4	2160.8	0.5	927848	"Nr"
"CS-00085"	"Pannello cesoiato "	"lam3"	431.4	2160.8	0.3	932169	"Nr"
"CS-00086"	"Pannello cesoiato "	"lam4"	434.4	2160.8	0.3	938652	"Nr"
