CODCES______	CODMAT______	LUNG	HALT	SPESS	MMQ____
"CF-00001"	"lam1"	540	2183	0.7	1178491
"CF-00002"	"lam1"	733	2183	0.7	1600286
"CF-00003"	"lam1"	452	2183	0.7	985715
"CF-00004"	"lam1"	437	2183	0.7	953840
"CF-00005"	"lam1"	423	2183	0.7	922839
"CF-00006"	"lam1"	223	2183	0.7	486199
"CF-00007"	"lam1"	702	2183	0.7	1533043
"CF-00008"	"lam1"	282	2183	0.7	616099
"CF-00009"	"lam1"	776	2183	0.7	1694163
"CF-00010"	"lam1"	665	2183	0.7	1450955
"CF-00011"	"lam1"	922	2183	0.7	2013347
"CF-00012"	"lam1"	695	2183	0.7	1516232
"CF-00013"	"lam1"	829	2183	0.7	1809873
"CF-00014"	"lam1"	542	2183	0.7	1183949
"CF-00015"	"lam1"	854	2183	0.7	1863361
"CF-00016"	"lam1"	875	2183	0.7	1911173
"CF-00017"	"lam1"	633	2183	0.7	1381966
"CF-00018"	"lam1"	651	2183	0.7	1420827
"CF-00019"	"lam1"	690	2183	0.7	1506408
"CF-00020"	"lam1"	661	2183	0.7	1442004
"CF-00021"	"lam1"	728	2183	0.7	1589370
"CF-00022"	"lam1"	723	2183	0.7	1578017
"CF-00023"	"lam1"	380	2183	0.7	828524
"CF-00024"	"lam1"	446	2183	0.7	974580
"CF-00025"	"lam1"	401	2183	0.7	875463
"CF-00026"	"lam1"	373	2183	0.7	814115
"CF-00027"	"lam1"	509	2183	0.7	1110812
"CF-00028"	"lam1"	500	2183	0.7	1092473
"CF-00029"	"lam1"	562	2183	0.7	1226085
"CF-00030"	"lam1"	595	2183	0.7	1299004
"CF-00031"	"lam1"	467	2183	0.7	1019336
"CF-00032"	"lam1"	542	2183	0.7	1183731
"CF-00033"	"lam1"	857	2183	0.7	1871002
