CODCES______	CODMAT______	LUNG	HALT	SPESS	MMQ____
"CP-00001"	"lam2"	352	2183	0.3	768050
"CP-00002"	"lam2"	588	2183	0.3	1283722
"CP-00003"	"lam2"	307	2183	0.3	669151
"CP-00004"	"lam2"	292	2183	0.3	637276
"CP-00005"	"lam2"	278	2183	0.3	606275
"CP-00006"	"lam2"	78	2183	0.3	169635
"CP-00007"	"lam2"	557	2183	0.3	1216479
"CP-00008"	"lam2"	137	2183	0.3	299535
"CP-00009"	"lam2"	551	2183	0.3	1202943
"CP-00010"	"lam2"	270	2183	0.3	588372
"CP-00011"	"lam2"	255	2183	0.3	556498
"CP-00012"	"lam2"	241	2183	0.3	525496
"CP-00013"	"lam2"	740	2183	0.3	1616005
"CP-00014"	"lam2"	513	2183	0.3	1118890
"CP-00015"	"lam2"	647	2183	0.3	1412530
"CP-00016"	"lam2"	360	2183	0.3	786607
"CP-00017"	"lam2"	672	2183	0.3	1466019
"CP-00018"	"lam2"	693	2183	0.3	1513831
"CP-00019"	"lam2"	451	2183	0.3	984623
"CP-00020"	"lam2"	469	2183	0.3	1023484
"CP-00021"	"lam2"	588	2158	0.3	1268904
"CP-00022"	"lam2"	612	2158	0.3	1320696
"CP-00023"	"lam2"	636	2158	0.3	1372488
"CP-00024"	"lam2"	618	2158	0.3	1333644
"CP-00025"	"lam2"	581	2158	0.3	1253798
"CP-00026"	"lam2"	514	2158	0.3	1109212
"CP-00027"	"lam2"	551	2158	0.3	1189058
"CP-00028"	"lam2"	558	2158	0.3	1204164
"CP-00029"	"lam2"	490	2158	0.3	1056341
