CODLDR______	CODMAT______	LUNG	HALT	SPESS	MMQ____
"LB-00001"	"lanaB15-s15"	596	2160	15	1287360
"LB-00002"	"lanaB0-s24"	596	2160	24	1287360
"LB-00003"	"lanaB0-s15"	596	2160	15	1287360
"LB-00004"	"lanaB0-s15"	449	2160	15	969840
"LB-00005"	"lanaB0-s15"	257	2160	15	555120
"LB-00006"	"lanaB0-s15"	242	2160	15	522720
"LB-00007"	"lanaB0-s15"	111	2160	15	239760
"LB-00008"	"lanaB0-s15"	152	2160	15	328320
"LB-00009"	"lanaB0-s15"	28	2160	15	60480
"LB-00010"	"lanaB0-s15"	536	2160	15	1157760
"LB-00011"	"lanaB0-s15"	112	2160	15	241920
"LB-00012"	"lanaB0-s15"	97	2160	15	209520
"LB-00013"	"lanaB0-s24"	117	2160	24	252720
"LB-00014"	"lanaB0-s24"	257	2160	24	555120
"LB-00015"	"lanaB0-s24"	71	2160	24	153360
"LB-00016"	"lanaB0-s24"	243	2160	24	524880
"LB-00017"	"lanaB0-s24"	57	2160	24	123120
"LB-00018"	"lanaB0-s24"	42	2160	24	90720
"LB-00019"	"lanaB0-s24"	28	2160	24	60480
"LB-00020"	"lanaB0-s24"	565	2160	24	1220400
"LB-00021"	"lanaB0-s24"	132	2160	24	285120
