CODSVI______	DESCRIZIONE_____________________________	LUNG	SPESS	HALT	FINITURA_____	FORI	___	RIGHE	TIPO	UM__
"SF-00000"	"Sviluppo Pannello DI RIFERIMENTO CODICE"	0	27	2200	"NN"	"No"	"_"	1	"SPS"	"Nr"
"SF-00001"	"Sviluppo Pannello "	539.8	0.7	2183.2	"lam1"	"No"	"90 119.2"	1	"SPC"	"Nr"
"SF-00002"	"Sviluppo Pannello "	733	0.7	2183.2	"lam1"	"No"	"-"	1	"STD"	"Nr"
"SF-00003"	"Sviluppo Pannello "	451.5	0.7	2183.2	"lam1"	"No"	"90 244.6"	1	"STD"	"Nr"
"SF-00004"	"Sviluppo Pannello "	436.9	0.7	2183.2	"lam1"	"No"	"90 73.8"	1	"STD"	"Nr"
"SF-00005"	"Sviluppo Pannello "	422.7	0.7	2183.2	"lam1"	"No"	"90 230"	1	"STD"	"Nr"
"SF-00006"	"Sviluppo Pannello "	222.7	0.7	2183.2	"lam1"	"No"	"270 59.7"	1	"STD"	"Nr"
"SF-00007"	"Sviluppo Pannello "	702.2	0.7	2183.2	"lam1"	"No"	"-"	1	"STD"	"Nr"
"SF-00008"	"Sviluppo Pannello "	282.2	0.7	2183.2	"lam1"	"No"	"90 30"	1	"STD"	"Nr"
"SF-00009"	"Sviluppo Pannello "	776	0.7	2183.2	"lam1"	"No"	"-"	1	"SPC"	"Nr"
"SF-00010"	"Sviluppo Pannello "	664.6	0.7	2183.2	"lam1"	"No"	"270 356.2"	1	"STD"	"Nr"
"SF-00011"	"Sviluppo Pannello "	922.2	0.7	2183.2	"lam1"	"No"	"270 553"	1	"STD"	"Nr"
"SF-00012"	"Sviluppo Pannello "	694.5	0.7	2183.2	"lam1"	"No"	"270 123.2"	1	"STD"	"Nr"
"SF-00013"	"Sviluppo Pannello "	829	0.7	2183.2	"lam1"	"No"	"90 245.3"	1	"STD"	"Nr"
"SF-00014"	"Sviluppo Pannello "	542.3	0.7	2183.2	"lam1"	"No"	"90 245.3"	1	"STD"	"Nr"
"SF-00015"	"Sviluppo Pannello "	853.5	0.7	2183.2	"lam1"	"No"	"125 510.5"	1	"STD"	"Nr"
"SF-00016"	"Sviluppo Pannello "	875.4	0.7	2183.2	"lam1"	"No"	"240 492.4"	1	"STD"	"Nr"
"SF-00017"	"Sviluppo Pannello "	633	0.7	2183.2	"lam1"	"No"	"270 300"	1	"STD"	"Nr"
"SF-00018"	"Sviluppo Pannello "	650.8	0.7	2183.2	"lam1"	"No"	"90 278"	1	"STD"	"Nr"
"SF-00019"	"Sviluppo Pannello "	650.8	0.7	2183.2	"lam1"	"Si"	"90 278"	2	"STD"	"Nr"
"SF-00020"	"Sviluppo Pannello "	733	0.7	2183.2	"lam1"	"Si"	"-"	2	"STD"	"Nr"
"SF-00021"	"Sviluppo Pannello "	733	0.7	2183.2	"lam1"	"Si"	"-"	2	"STD"	"Nr"
"SF-00022"	"Sviluppo Pannello "	733	0.7	2183.2	"lam1"	"No"	"90 300"	1	"STD"	"Nr"
"SF-00023"	"Sviluppo Pannello "	733	0.7	2183.2	"lam1"	"Si"	"90 300"	2	"STD"	"Nr"
