CODRIN______	CODELE______	QNT
"RF-00001"	"R7"	595
"RF-00002"	"R65"	60
"RF-00003"	"R1"	2155
"RF-00004"	"R7"	375
"RF-00005"	"R1"	2090
"RF-00006"	"R7"	204
"RF-00007"	"R7"	265
"RF-00008"	"R7"	376
"RF-00009"	"R7"	425
"RF-00010"	"R7"	475
"RF-00011"	"R7"	235
"RF-00012"	"R69"	2155
"RF-00013"	"R7"	473
"RF-00014"	"R7"	595
"RF-00015"	"R7"	234
"RF-00016"	"R1"	695
"RF-00017"	"R1"	240
"RF-00018"	"R7"	595
"RF-00019"	"R7"	400
"RF-00020"	"R7"	545
"RF-00021"	"R7"	355
"RF-00022"	"R1"	595
"RF-00023"	"R7"	495
"RF-00024"	"R7"	515
"RF-00025"	"R7"	565
"RF-00026"	"R7"	345
"RF-00027"	"R1"	368
"RF-00028"	"R7"	300
"RF-00029"	"R69"	2175
"RF-00030"	"R7"	350
"RF-00031"	"R1"	585
"RF-00032"	"R1"	345
"RF-00033"	"R1"	335
"RF-00034"	"R7"	300
"RF-00035"	"R7"	495
"RF-00036"	"R7"	495
"RF-00037"	"R1"	222
"RF-00038"	"R7"	535
"RF-00039"	"R7"	445
"RF-00040"	"R7"	445
"RF-00041"	"R74"	2175
"RF-00042"	"R7"	555
"RF-00043"	"R7"	448
"RF-00044"	"R1"	300
"RF-00045"	"R1"	401
"RF-00046"	"R1"	395
"RF-00047"	"R1"	555
"RF-00048"	"R7"	595
"RF-00049"	"R74"	2105
"RF-00050"	"R1"	2185
"RF-00051"	"R1"	2125
"RF-00052"	"R69"	2185
"RF-00053"	"R7"	457
"RF-00054"	"R7"	308
"RF-00055"	"R74"	2205
"RF-00056"	"R74"	2205
"RF-00057"	"R7"	595
"RF-00058"	"R74"	2205
"RF-00059"	"R74"	2205
"RF-00060"	"R7"	585
"RF-00061"	"R7"	595
"RF-00062"	"R7"	430
"RF-00063"	"R7"	482
"RF-00064"	"R7"	297
"RF-00065"	"R7"	298
"RF-00066"	"R7"	557
"RF-00067"	"R74"	2110
