CODLDR______	CODMAT______	LUNG	HALT	SPESS	MMQ____
"LR-00001"	"materialeB0"	65	2160	15	0
"LR-00002"	"materialeB0"	606	2160	15	-22
"LR-00003"	"materialeB0"	350	2160	15	0
"LR-00004"	"materialeB0"	166	2160	15	0
"LR-00005"	"materialeB0"	308	2160	15	0
"LR-00006"	"materialeB0"	43	2160	15	0
"LR-00007"	"materialeB0"	200	2160	15	0
"LR-00008"	"materialeB0"	138	2160	15	0
"LR-00009"	"materialeB0"	596	2160	15	0
"LR-00010"	"materialeB0"	278	2160	15	0
"LR-00011"	"materialeB0"	517	2160	15	0
"LR-00012"	"materialeB0"	562	2160	15	0
"LR-00013"	"materialeB0"	143	2160	15	0
"LR-00014"	"materialeB0"	148	2160	15	0
"LR-00015"	"materialeB0"	378	2160	15	0
"LR-00016"	"materialeB0"	168	2160	15	0
"LR-00017"	"materialeB0"	40	2160	15	0
"LR-00018"	"materialeB0"	208	2160	15	0
"LR-00019"	"materialeB0"	445	2160	15	0
"LR-00020"	"materialeB0"	28	2160	15	0
"LR-00021"	"materialeB0"	606	2160	15	0
"LR-00022"	"materialeB0"	65	2160	15	-22
"LR-00023"	"materialeB0"	606	2095	15	-22
"LR-00024"	"materialeB0"	65	2095	15	0
"LR-00025"	"materialeB0"	350	2095	15	0
"LR-00026"	"materialeB0"	166	2095	15	0
"LR-00027"	"materialeB0"	308	2095	15	0
"LR-00028"	"materialeB0"	43	2095	15	0
"LR-00029"	"materialeB0"	200	2095	15	0
"LR-00030"	"materialeB0"	138	2095	15	0
"LR-00031"	"materialeB0"	596	2095	15	0
"LR-00032"	"materialeB0"	278	2095	15	0
"LR-00033"	"materialeB0"	517	2095	15	0
"LR-00034"	"materialeB0"	562	2095	15	0
"LR-00035"	"materialeB0"	143	2095	15	0
"LR-00036"	"materialeB0"	148	2095	15	0
"LR-00037"	"materialeB0"	378	2095	15	0
"LR-00038"	"materialeB0"	168	2095	15	0
"LR-00039"	"materialeB0"	40	2095	15	0
"LR-00040"	"materialeB0"	208	2095	15	0
"LR-00041"	"materialeB0"	445	2095	15	0
"LR-00042"	"materialeB0"	28	2095	15	0
"LR-00043"	"materialeB0"	65	2095	15	-22
"LR-00044"	"materialeB0"	606	2095	15	0
"LR-00045"	"materialeB0"	428	2160	15	0
"LR-00046"	"materialeB0"	76	2160	15	0
"LR-00047"	"materialeB0"	101	2160	15	0
"LR-00048"	"materialeB0"	419	2160	15	0
"LR-00049"	"materialeB0"	276	2160	15	0
"LR-00050"	"materialeB0"	35	2160	15	0
"LR-00051"	"materialeB0"	437	2160	15	0
"LR-00052"	"materialeB0"	236	2160	15	0
"LR-00053"	"materialeB0"	220	2160	15	0
"LR-00054"	"materialeB0"	58	2160	15	0
"LR-00055"	"materialeB0"	428	2160	15	-10
"LR-00056"	"materialeB0"	133	2160	15	0
"LR-00057"	"materialeB0"	428	2160	15	0
"LR-00058"	"materialeB0"	363	2160	15	0
"LR-00059"	"materialeB0"	296	2160	15	0
"LR-00060"	"materialeB0"	128	2160	15	0
"LR-00061"	"materialeB0"	235	2160	15	0
"LR-00062"	"materialeB0"	79	2160	15	0
"LR-00063"	"materialeB0"	216	2160	15	0
"LR-00064"	"materialeB0"	240	2160	15	0
"LR-00065"	"materialeB0"	48	2160	15	0
"LR-00066"	"materialeB0"	415	2160	15	0
"LR-00067"	"materialeB0"	453	2160	15	0
"LR-00068"	"materialeB0"	133	2160	15	0
"LR-00069"	"materialeB0"	428	2160	15	-34
"LR-00070"	"materialeB0"	133	2095	15	-34
"LR-00071"	"materialeB0"	428	2095	15	0
"LR-00072"	"materialeB0"	76	2095	15	0
"LR-00073"	"materialeB0"	101	2095	15	0
"LR-00074"	"materialeB0"	419	2095	15	0
"LR-00075"	"materialeB0"	276	2095	15	0
"LR-00076"	"materialeB0"	215	2095	15	0
"LR-00077"	"materialeB0"	35	2095	15	0
"LR-00078"	"materialeB0"	437	2095	15	0
"LR-00079"	"materialeB0"	236	2095	15	0
"LR-00080"	"materialeB0"	220	2095	15	0
"LR-00081"	"materialeB0"	58	2095	15	0
"LR-00082"	"materialeB0"	428	2095	15	-10
"LR-00083"	"materialeB0"	133	2095	15	0
"LR-00084"	"materialeB0"	133	2095	15	-10
"LR-00085"	"materialeB0"	428	2095	15	0
"LR-00086"	"materialeB0"	363	2095	15	0
"LR-00087"	"materialeB0"	296	2095	15	0
"LR-00088"	"materialeB0"	128	2095	15	0
"LR-00089"	"materialeB0"	235	2095	15	0
"LR-00090"	"materialeB0"	79	2095	15	0
"LR-00091"	"materialeB0"	216	2095	15	0
"LR-00092"	"materialeB0"	240	2095	15	0
"LR-00093"	"materialeB0"	48	2095	15	0
"LR-00094"	"materialeB0"	415	2095	15	0
"LR-00095"	"materialeB0"	453	2095	15	0
"LR-00096"	"materialeB0"	133	2095	15	0
"LR-00097"	"materialeB0"	428	2095	15	-34
"LR-00098"	"materialeB0"	496	2160	15	0
