CODPAN______	DESCRIZIONE	LUNG1	LUNG2	SPESS	HALT	ANG	FINITURA______	FORI 	___	RIGHE	TIPO	UM__
"LM-00000"	"DI RIFCOD"	0	0	0	0	0	"A"	"No"	"_"	1	"SPD"	"Nr"
"LM-00001"	"Angolo"	67	608	28	2160	225	"A"	"Si"	"_"	2	"SPC"	"Nr"
"LM-00002"	"Angolo"	337	30	28	2160	90	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00003"	"Angolo"	168	432	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00004"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00005"	"Angolo"	430	170	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00006"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	6	"STD"	"Nr"
"LM-00007"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00008"	"Angolo"	265	150	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00009"	"Pannello"	600	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00010"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00011"	"Angolo"	45	130	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00012"	"Pannello"	566	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00013"	"Pannello"	566	0	28	2160	0	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00014"	"Angolo"	130	45	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00015"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00016"	"Angolo"	150	265	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00017"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	6	"STD"	"Nr"
"LM-00018"	"Angolo"	170	430	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00019"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00020"	"Angolo"	432	168	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00021"	"Angolo"	30	337	28	2160	90	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00022"	"Angolo"	608	67	28	2160	225	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00023"	"Angolo"	67	608	28	2095	225	"A"	"Si"	"_"	2	"SPC"	"Nr"
"LM-00024"	"Angolo"	337	30	28	2095	90	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00025"	"Angolo"	168	432	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00026"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00027"	"Angolo"	430	170	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00028"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	6	"STD"	"Nr"
"LM-00029"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00030"	"Angolo"	265	150	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00031"	"Pannello"	600	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00032"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00033"	"Angolo"	45	130	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00034"	"Pannello"	566	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00035"	"Pannello"	566	0	28	2095	0	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00036"	"Angolo"	130	45	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00037"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00038"	"Angolo"	150	265	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00039"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	6	"STD"	"Nr"
"LM-00040"	"Angolo"	170	430	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00041"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00042"	"Angolo"	432	168	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00043"	"Angolo"	30	337	28	2095	90	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00044"	"Angolo"	608	67	28	2095	225	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00045"	"Angolo"	430	135	28	2160	249	"A"	"Si"	"_"	2	"SPC"	"Nr"
"LM-00046"	"Angolo"	78.2	440	28	2160	90	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00047"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00048"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00049"	"Pannello"	423.6	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00050"	"Angolo"	155.5	50	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00051"	"Angolo"	37.7	430	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00052"	"Angolo"	430	37.7	28	2160	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00053"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00054"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	7	"STD"	"Nr"
"LM-00055"	"Angolo"	60	350.5	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00056"	"Angolo"	135	430	28	2160	201	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00057"	"Angolo"	430	135	28	2160	201	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00058"	"Angolo"	350.5	60	28	2160	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00059"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	7	"STD"	"Nr"
"LM-00060"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00061"	"Angolo"	37.7	430	28	2160	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00062"	"Angolo"	430	37.7	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00063"	"Angolo"	50	155.5	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00064"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00065"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00066"	"Angolo"	440	78.2	28	2160	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00067"	"Angolo"	135	430	28	2160	249	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00068"	"Angolo"	430	135	28	2095	249	"A"	"Si"	"_"	2	"SPC"	"Nr"
"LM-00069"	"Angolo"	78.2	440	28	2095	90	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00070"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00071"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00072"	"Pannello"	423.6	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00073"	"Angolo"	155.5	50	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00074"	"Angolo"	37.7	430	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00075"	"Angolo"	430	37.7	28	2095	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00076"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00077"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	7	"STD"	"Nr"
"LM-00078"	"Angolo"	60	350.5	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00079"	"Angolo"	135	430	28	2095	201	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00080"	"Angolo"	430	135	28	2095	201	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00081"	"Angolo"	350.5	60	28	2095	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00082"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	7	"STD"	"Nr"
"LM-00083"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00084"	"Angolo"	37.7	430	28	2095	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00085"	"Angolo"	430	37.7	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00086"	"Angolo"	50	155.5	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00087"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00088"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00089"	"Angolo"	440	78.2	28	2095	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00090"	"Angolo"	135	430	28	2095	249	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00091"	"Pannello"	500	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00092"	"Angolo"	78.2	240	28	2160	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00093"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	5	"STD"	"Nr"
"LM-00094"	"Angolo"	425	35	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00095"	"Pannello"	384.9	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00096"	"Angolo"	60	120	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00097"	"Angolo"	135	430	28	2160	201	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00098"	"Angolo"	430	135	28	2160	201	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00099"	"Angolo"	120	60	28	2160	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00100"	"Angolo"	35	425	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00101"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	5	"STD"	"Nr"
"LM-00102"	"Angolo"	240	78.2	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00103"	"Pannello"	500	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00104"	"Angolo"	78.2	240	28	2095	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00105"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	5	"STD"	"Nr"
"LM-00106"	"Angolo"	425	35	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00107"	"Pannello"	384.9	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00108"	"Angolo"	60	120	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00109"	"Angolo"	135	430	28	2095	201	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00110"	"Angolo"	430	135	28	2095	201	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00111"	"Angolo"	120	60	28	2095	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00112"	"Angolo"	35	425	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00113"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	5	"STD"	"Nr"
"LM-00114"	"Angolo"	240	78.2	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00115"	"Angolo"	78.2	550	28	2160	90	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00116"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00117"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00118"	"Pannello"	400	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00119"	"Angolo"	92.7	430	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00120"	"Angolo"	430	92.7	28	2160	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00121"	"Angolo"	60	150.5	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00122"	"Angolo"	150.5	60	28	2160	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00123"	"Angolo"	92.7	430	28	2160	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00124"	"Angolo"	430	92.7	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00125"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00126"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00127"	"Angolo"	550	78.2	28	2160	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00128"	"Angolo"	78.2	550	28	2095	90	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00129"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00130"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00131"	"Pannello"	400	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00132"	"Angolo"	92.7	430	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00133"	"Angolo"	430	92.7	28	2095	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00134"	"Angolo"	60	150.5	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00135"	"Angolo"	150.5	60	28	2095	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00136"	"Angolo"	92.7	430	28	2095	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00137"	"Angolo"	430	92.7	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00138"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00139"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00140"	"Angolo"	550	78.2	28	2095	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00141"	"Angolo"	50	60	28	2160	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00142"	"Angolo"	207	78	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00143"	"Angolo"	45	208	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00144"	"Pannello"	260	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00145"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	7	"STD"	"Nr"
"LM-00146"	"Pannello"	385	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00147"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	7	"STD"	"Nr"
"LM-00148"	"Pannello"	260	0	28	2160	0	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00149"	"Angolo"	208	45	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00150"	"Angolo"	78	207	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00151"	"Angolo"	60	50	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00152"	"Angolo"	50	60	28	2095	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00153"	"Angolo"	207	78	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00154"	"Angolo"	45	208	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00155"	"Pannello"	260	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00156"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	7	"STD"	"Nr"
"LM-00157"	"Pannello"	385	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00158"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	7	"STD"	"Nr"
"LM-00159"	"Pannello"	260	0	28	2095	0	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00160"	"Angolo"	208	45	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00161"	"Angolo"	78	207	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00162"	"Angolo"	60	50	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00163"	"Pannello"	500	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00164"	"Angolo"	78	194	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00165"	"Angolo"	430	40	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00166"	"Pannello"	450	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00167"	"Angolo"	148	364	28	2160	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00168"	"Angolo"	340	60	28	2160	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00169"	"Pannello"	499	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00170"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00171"	"Pannello"	474	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00172"	"Angolo"	162	430	28	2160	201	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00173"	"Pannello"	590	0	28	2160	0	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00174"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00175"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00176"	"Pannello"	494	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00177"	"Angolo"	37	430	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00178"	"Angolo"	430	38	28	2160	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00179"	"Angolo"	330	270	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00180"	"Angolo"	78	300	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00181"	"Pannello"	590	0	28	2095	0	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00182"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00183"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00184"	"Pannello"	494	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00185"	"Angolo"	37	430	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00186"	"Angolo"	430	38	28	2095	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00187"	"Angolo"	330	270	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00188"	"Angolo"	78	300	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00189"	"Pannello"	535	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00190"	"Angolo"	62	104	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00191"	"Angolo"	430	40	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00192"	"Angolo"	148	430	28	2095	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00193"	"Angolo"	274	273	28	2095	90	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00194"	"Pannello"	399	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00195"	"Angolo"	420	50	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00196"	"Angolo"	162	430	28	2095	201	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00197"	"Angolo"	388	153	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00198"	"Angolo"	153	376	28	2160	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00199"	"Angolo"	376	60	28	2160	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00200"	"Angolo"	50	345	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00201"	"Angolo"	430	135	28	2160	201	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00202"	"Angolo"	132	78	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00203"	"Pannello"	414	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00204"	"Pannello"	590	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00205"	"Angolo"	80	180	28	2095	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00206"	"Pannello"	410	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00207"	"Pannello"	499	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00208"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00209"	"Pannello"	590	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00210"	"Angolo"	78.2	410	28	2095	90	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00211"	"Angolo"	60	340	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00212"	"Angolo"	340	60	28	2095	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00213"	"Angolo"	410	78.2	28	2095	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00214"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00215"	"Pannello"	499	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00216"	"Angolo"	180	80	28	2095	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00217"	"Angolo"	60	270	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00218"	"Angolo"	75	43	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00219"	"Angolo"	78.2	447	28	2160	90	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00220"	"Angolo"	447	78.2	28	2160	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00221"	"Angolo"	43	75	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00222"	"Angolo"	270	60	28	2160	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00223"	"Angolo"	60	270	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00224"	"Angolo"	75	43	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00225"	"Angolo"	78.2	447	28	2095	90	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00226"	"Angolo"	246	80	28	2095	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00227"	"Angolo"	70	110	28	2095	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00228"	"Pannello"	420	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00229"	"Angolo"	50	430	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00230"	"Pannello"	524	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00231"	"Angolo"	498	78	28	2095	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00232"	"Pannello"	720	0	28	163	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00233"	"Angolo"	340	90	28	2160	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00234"	"Angolo"	90	194	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00235"	"Angolo"	430	60	28	2160	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00236"	"Pannello"	429	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00237"	"Pannello"	429	0	28	2160	0	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00238"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00239"	"Pannello"	499	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00240"	"Angolo"	364	148	28	2160	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00241"	"Angolo"	60	430	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
